time,month,bat_landing_number,food_availability,rat_minutes,rat_arrival_number,minutes_after_sunset,date
2017-12-26 16:13:00,0,20,4.0,0.0,0,-30.0,2017-12-26
2017-12-26 16:43:00,0,28,4.0,0.0,0,0.0,2017-12-26
2017-12-26 17:13:00,0,25,4.0,0.0,0,30.0,2017-12-26
2017-12-26 17:43:00,0,71,4.0,0.0,0,60.0,2017-12-26
2017-12-26 18:13:00,0,44,3.753856942,0.0,0,90.0,2017-12-26
2017-12-26 18:43:00,0,44,3.147265077,0.0,0,120.0,2017-12-26
2017-12-26 19:13:00,0,41,3.0,0.0,0,150.0,2017-12-26
2017-12-26 19:43:00,0,54,3.0,0.0,0,180.0,2017-12-26
2017-12-26 20:13:00,0,32,3.0,0.0,0,210.0,2017-12-26
2017-12-26 20:43:00,0,51,2.968873797,0.0,2,240.0,2017-12-26
2017-12-26 21:13:00,0,53,2.561403509,0.0,1,270.0,2017-12-26
2017-12-26 21:43:00,0,47,2.086587436,0.0,1,300.0,2017-12-26
2017-12-26 22:13:00,0,75,2.0,0.133333333,1,330.0,2017-12-26
2017-12-26 22:43:00,0,45,1.958064516,0.0,0,360.0,2017-12-26
2017-12-26 23:13:00,0,30,1.55,0.0,0,390.0,2017-12-26
2017-12-26 23:43:00,0,44,1.049289229,0.0,0,420.0,2017-12-26
2017-12-27 00:13:00,0,30,0.542372881,0.0,0,450.0,2017-12-27
2017-12-27 00:43:00,0,26,2.951877314,0.0,0,480.0,2017-12-27
2017-12-27 01:13:00,0,16,2.951877314,0.0,1,510.0,2017-12-27
2017-12-27 01:43:00,0,13,2.951877314,0.016666667,1,540.0,2017-12-27
2017-12-27 02:13:00,0,17,2.951877314,0.0,0,570.0,2017-12-27
2017-12-27 02:43:00,0,15,2.951877314,0.0,0,600.0,2017-12-27
2017-12-27 03:13:00,0,14,2.951877314,0.0,0,630.0,2017-12-27
2017-12-27 03:43:00,0,13,2.951877314,0.0,0,660.0,2017-12-27
2017-12-27 16:13:00,0,13,4.0,0.0,0,-30.0,2017-12-27
2017-12-27 16:43:00,0,18,4.0,0.0,0,0.0,2017-12-27
2017-12-27 17:13:00,0,31,4.0,0.0,0,30.0,2017-12-27
2017-12-27 17:43:00,0,35,4.0,0.0,0,60.0,2017-12-27
2017-12-27 18:13:00,0,22,4.0,0.0,0,90.0,2017-12-27
2017-12-27 18:43:00,0,24,3.964516129,0.0,0,120.0,2017-12-27
2017-12-27 19:13:00,0,30,3.566666667,0.0,0,150.0,2017-12-27
